school_id,name,short,old_name,type,proid,pro_name
3680,阿克苏工业职业技术学院,,,6001,65,新疆
3679,新疆司法警官职业学院,,,6001,65,新疆
3678,遂宁职业学院,,,6001,51,四川
3677,遂宁工程职业学院,,,6001,51,四川
3676,遂宁能源职业学院,,,6001,51,四川
3675,珠海格力职业学院,,,6001,44,广东
3674,香港科技大学（广州）,,香港科技大学（广州）（筹）,6000,44,广东
3673,长沙轨道交通职业学院,,,6001,43,湖南
3672,襄阳科技职业学院,,,6001,42,湖北
3671,郑州智能科技职业学院,,,6001,41,河南
3670,郑州软件职业技术学院,,,6001,41,河南
3669,洛阳商业职业学院,,,6001,41,河南
3668,开封职业学院,,,6001,41,河南
3667,焦作新材料职业学院,,,6001,41,河南
3666,商丘幼儿师范高等专科学校,,,6001,41,河南
3665,濮阳科技职业学院,,,6001,41,河南
3664,南阳工艺美术职业学院,,,6001,41,河南
3663,郑州美术学院,,,6000,41,河南
3662,邯郸应用技术职业学院,,,6001,13,河北
3661,香格里拉职业学院,,,6001,53,云南
3660,文山职业技术学院,,,6001,53,云南
3659,丽江职业技术学院,丽职院,,6001,53,云南
3657,衡水健康科技职业学院,,,6001,13,河北
3656,沧州航空职业学院,,,6001,13,河北
3655,贵州体育职业学院,体职院,,6001,52,贵州
3654,图木舒克职业技术学院,,,6001,65,新疆
3653,喀什理工职业技术学院,,,6001,65,新疆
3652,定西职业技术学院,,,6001,62,甘肃
3651,桂林信息工程职业学院,,,6001,45,广西
3650,衡阳科技职业学院,,,6001,43,湖南
3649,郴州思科职业学院,,,6001,43,湖南
3648,岳阳现代服务职业学院,,,6001,43,湖南
3647,长沙文创艺术职业学院,,,6001,43,湖南
3646,邵阳工业职业技术学院,,,6001,43,湖南
3645,海南比勒费尔德应用科学大学,海南比科大,,6000,46,海南
3644,常德科技职业技术学院,,,6001,43,湖南
3643,郑州食品工程职业学院,,,6001,41,河南
3642,烟台城市科技职业学院,,,6001,37,山东
3641,山东城市服务职业学院,,,6001,37,山东
3640,可克达拉职业技术学院,,,6001,65,新疆
3639,上饶卫生健康职业学院,,,6001,36,江西
3638,新星职业技术学院,,,6001,65,新疆
3637,吉安幼儿师范高等专科学校,,,6001,36,江西
3636,昆玉职业技术学院,,,6001,65,新疆
3635,贵州铜仁数据职业学院,数据职院,,6001,52,贵州
3634,潍坊食品科技职业学院,,,6001,37,山东
3633,宁夏卫生健康职业技术学院,,,6001,64,宁夏
3632,秦皇岛工业职业技术学院,,,6001,13,河北
3631,宜昌科技职业学院,,,6001,42,湖北
3629,周口理工职业学院,,,6001,41,河南
3628,华北水利水电大学乌拉尔学院,,,6000,41,河南
3627,郑州大学体育学院,,,6000,41,河南
3625,郑州汽车工程职业学院,郑汽职院,,6001,41,河南
3624,重庆中医药学院,重中医,,6000,50,重庆
3623,上海闵行职业技术学院,,,6001,31,上海
3622,昭通职业学院,,,6001,53,云南
3621,保山职业学院,,,6001,53,云南
3620,玉溪职业技术学院,,,6001,53,云南
3619,上海科创职业技术学院,,,6001,31,上海
3618,吕梁师范高等专科学校,,,6001,14,山西
3617,上海现代化工职业学院,,,6001,31,上海
3616,上海建设管理职业技术学院,,,6001,31,上海
3615,娄底幼儿师范高等专科学校,,娄底幼儿师范学校,6001,43,湖南
3614,常州幼儿师范高等专科学校,,,6001,32,江苏
3613,北京理工大学珠海学院布莱恩特学院,,,0,44,广东
3612,贵州大学北阿拉巴马国际工程技术学院,,,6000,52,贵州
3609,广西质量工程职业技术学院,,,6001,45,广西
3608,益阳师范高等专科学校,,,6001,43,湖南
3607,重庆五一职业技术学院,,,6001,50,重庆
3605,重庆医科大学国际医学院,,,6000,50,重庆
3604,西南大学西塔学院,,,6000,50,重庆
3602,烟台科技学院,济大泉院,济南大学泉城学院,6000,37,山东
3601,白银希望职业技术学院,,,6001,62,甘肃
3600,兰州航空职业技术学院,,,6001,62,甘肃
3598,宝鸡中北职业学院,,,6001,61,陕西
3597,贵州文化旅游职业学院,,贵州省旅游学校,6001,52,贵州
3596,自贡职业技术学院,,,6001,51,四川
3595,甘孜职业学院,,,6001,51,四川
3594,重庆工信职业学院,渝工信职院,,6001,50,重庆
3593,北海康养职业学院,,,6001,45,广西
3592,广西农业工程职业技术学院,,,6001,45,广西
3591,广西信息职业技术学院,,,6001,45,广西
3590,防城港职业技术学院,,,6001,45,广西
3589,广东肇庆航空职业学院,,,6001,44,广东
3588,广东云浮中医药职业学院,,,6001,44,广东
3587,广东潮州卫生健康职业学院,,,6001,44,广东
3586,广东梅州职业技术学院,,,6001,44,广东
3585,广东汕头幼儿师范高等专科学校,"汕头幼高专,汕头幼师汕头幼专,汕头幼师专科",,6001,44,广东
3584,湖北孝感美珈职业学院,,,6001,42,湖北
3583,郑州医药健康职业学院,,,6001,41,河南
3582,郑州城建职业学院,,,6001,41,河南
3581,信阳艺术职业学院,,,6001,41,河南
3580,周口文理职业学院,,,6001,41,河南
3579,洛阳文化旅游职业学院,,,6001,41,河南
3578,滨州科技职业学院,,,6001,37,山东
3577,和君职业学院,,,6001,36,江西
3576,宿州航空职业学院,,,6001,34,安徽
3575,浙江金华科贸职业技术学院,,,6001,33,浙江
3574,上海南湖职业技术学院,,,6001,31,上海
3573,通化医药健康职业学院,,,6001,22,吉林
3572,吉林通用航空职业技术学院,,,6001,22,吉林
3571,邢台应用技术职业学院,,,6001,13,河北
3569,重庆移通学院德国工程学院,,重庆移通学院中德应用技术学院,6000,50,重庆
3568,香港恒生大学,,,6000,81,
3567,电子科技大学格拉斯哥学院,,,6000,51,四川
3566,广州幼儿师范高等专科学校,"广州幼专,广州幼高专,广州幼师,广州幼师专科",,6001,44,广东
3552,解放军空军石家庄飞行学院,空军石家庄飞行学院,,6000,13,河北
3549,贵州民用航空职业学院,,,6001,52,贵州
3548,中国人民解放军海军士官学校,海军士官学校,,6000,34,安徽
3546,贵州财经大学西密歇根学院,,,6000,52,贵州
3545,中国人民武装警察部队指挥学院,武警指挥学院,,6000,12,天津
3544,海军勤务学院,,海军工程大学勤务学院,6000,12,天津
3543,海军指挥学院,,中国人民解放军海军指挥学院,6000,32,江苏
3541,梅河口康美职业技术学院,,,6001,22,吉林
3540,长治幼儿师范高等专科学校,,,6001,14,山西
3539,红河职业技术学院,,,6001,53,云南
3538,榆林能源科技职业学院,,,6001,61,陕西
3536,培黎职业学院,,,6001,62,甘肃
3535,石嘴山工贸职业技术学院,,,6001,64,宁夏
3534,塔城职业技术学院,,,6001,65,新疆
3533,塔里木职业技术学院,,,6001,65,新疆
3532,贵州财经职业学院,,,6001,52,贵州
3531,贵州机电职业技术学院,,,6001,52,贵州
3530,泸州医疗器械职业学院,,,6001,51,四川
3529,德阳农业科技职业学院,,,6001,51,四川
3528,绵阳飞行职业学院,,,6001,51,四川
3527,南充电影工业职业学院,,,6001,51,四川
3526,南充文化旅游职业学院,,,6001,51,四川
3525,重庆健康职业学院,,,6001,50,重庆
3524,重庆智能工程职业学院,重庆智能学院,,6001,50,重庆
3523,重庆理工职业学院,,,6001,50,重庆
3522,广西物流职业技术学院,广西物流职院,,6001,45,广西
3521,广西制造工程职业技术学院,,,6001,45,广西
3520,湖北健康职业学院,湖北健康职院,,6001,42,湖北
3519,郑州体育职业学院,,,6001,41,河南
3518,郑州轨道工程职业学院,,,6001,41,河南
3517,郑州电子商务职业学院,,,6001,41,河南
3516,林州建筑职业技术学院,,,6001,41,河南
3515,汝州职业技术学院,,,6001,41,河南
3514,兰考三农职业学院,,,6001,41,河南
3513,南阳科技职业学院,,,6001,41,河南
3512,濮阳石油化工职业技术学院,,,6001,41,河南
3511,河南对外经济贸易职业学院,,,6001,41,河南
3510,河南女子职业学院,,,6001,41,河南
3509,潍坊环境工程职业学院,,,6001,37,山东
3508,青岛航空科技职业学院,,,6001,37,山东
3507,临沂科技职业学院,,,6001,37,山东
3506,烟台文化旅游职业学院,,,6001,37,山东
3505,九江理工职业学院,,,6001,36,江西
3504,南昌健康职业技术学院,,,6001,36,江西
3503,黄山健康职业学院,,,6001,34,安徽
3502,浙江宇翔职业技术学院,,,6001,33,浙江
3501,长春早期教育职业学院,,,6001,22,吉林
3500,鞍山职业技术学院,,,6001,21,辽宁
3499,赤峰应用技术职业学院,,,6001,15,内蒙古
3498,朔州陶瓷职业技术学院,朔州陶瓷职院,,6001,14,山西
3497,山西通用航空职业技术学院,山西通航职院,,6001,14,山西
3496,唐山海运职业学院,,,6001,13,河北
3495,邯郸科技职业学院,,,6001,13,河北
3494,梧州医学高等专科学校,,,6001,45,广西
3493,钦州幼儿师范高等专科学校,钦州幼专,,6001,45,广西
3492,长沙幼儿师范高等专科学校,,,6001,43,湖南
3491,衡阳幼儿师范高等专科学校,衡阳幼专,,6001,43,湖南
3490,永州师范高等专科学校,,,6001,43,湖南
3489,烟台幼儿师范高等专科学校,烟台幼专,,6001,37,山东
3488,青岛幼儿师范高等专科学校,青岛幼专,,6001,37,山东
3487,邯郸幼儿师范高等专科学校,邯郸幼专,,6001,13,河北
3486,西南财经大学特拉华数据科学学院,,,6000,51,四川
3485,海南卫生健康职业学院,,,6001,46,海南
3483,江苏海洋大学,淮海工学院,,6000,32,江苏
3478,辽宁师范高等专科学校,辽宁师专,,6001,21,辽宁
3477,阿勒泰职业技术学院,,,6001,65,新疆
3476,新疆科信职业技术学院,,,6001,65,新疆
3475,克孜勒苏职业技术学院,,,6001,65,新疆
3474,宝鸡三和职业学院,,,6001,61,陕西
3473,神木职业技术学院,,,6001,61,陕西
3472,曲靖职业技术学院,,,6001,53,云南
3471,攀枝花攀西职业学院,攀西职院,,6001,51,四川
3470,广西自然资源职业技术学院,,,6001,45,广西
3469,广东财贸职业学院,,,6001,44,广东
3468,广东江门幼儿师范高等专科学校,"江门幼专,江门幼高专,江门幼师,江门幼师专科",,6001,44,广东
3467,怀化师范高等专科学校,,,6001,43,湖南
3466,郑州亚欧交通职业学院,,,6001,41,河南
3465,青岛工程职业学院,,,6001,37,山东
3464,江西软件职业技术大学,,,6000,36,江西
3463,福建技术师范学院,,,6000,35,福建
3462,西湖大学,,,6000,33,浙江
3461,安徽艺术学院,,,6000,34,安徽
3456,昆明幼儿师范高等专科学校,,,6001,53,云南
3455,铁门关职业技术学院,,,6001,65,新疆
3454,和田职业技术学院,,,6001,65,新疆
